Currency_Code,Currency_Full_Name,Symbol,Status,flag
MAD,Moroccan Dirham,د.م.,inserted,https://flagcdn.com/w320/ly.png
MDL,Moldovan Leu,L,inserted,https://flagcdn.com/w320/md.png
MGA,Malagasy Ariary,Ar,inserted,https://flagcdn.com/w320/mg.png
MKD,Macedonian Denar,ден,inserted,https://flagcdn.com/w320/mg.png
MMK,Myanma Kyat,Ks,inserted,https://flagcdn.com/w320/mm.png
MNT,Mongolian Tugrik,₮,,https://flagcdn.com/w320/mn.png
MOP,Macanese Pataca,P,inserted,https://flagcdn.com/w320/mo.png
MRU,Mauritanian Ouguiya,UM,,https://flagcdn.com/w320/mu.png
MUR,Mauritian Rupee,Rs,inserted,https://flagcdn.com/w320/mr.png
MVR,Maldivian Rufiyaa,.ރ,inserted,https://flagcdn.com/w320/mv.png
MWK,Malawian Kwacha,MK,inserted,https://flagcdn.com/w320/mw.png
MXN,Mexican Peso,$,inserted,https://flagcdn.com/w320/mx.png
MYR,Malaysian Ringgit,RM,inserted,https://flagcdn.com/w320/my.png
MZN,Mozambican Metical,MT,inserted,https://flagcdn.com/w320/mz.png
NAD,Namibian Dollar,N$,inserted,https://flagcdn.com/w320/na.png
NGN,Nigerian Naira,₦,inserted,https://flagcdn.com/w320/ng.png
NIO,Nicaraguan Córdoba,C$,inserted,https://flagcdn.com/w320/ni.png
NOK,Norwegian Krone,kr,inserted,https://flagcdn.com/w320/no.png
NPR,Nepalese Rupee,रू,inserted,https://flagcdn.com/w320/np.png
NZD,New Zealand Dollar,$,inserted,https://flagcdn.com/w320/nz.png
OMR,Omani Rial,ر.ع.,inserted,https://flagcdn.com/w320/om.png
PAB,Panamanian Balboa,B/,inserted,https://flagcdn.com/w320/pa.png
PEN,Peruvian Nuevo Sol,S/.,inserted,https://flagcdn.com/w320/pe.png
PGK,Papua New Guinean Kina,K,inserted,https://flagcdn.com/w320/pg.png
PHP,Philippine Peso,₱,inserted,https://flagcdn.com/w320/ph.png
PKR,Pakistani Rupee,Rs,inserted,https://flagcdn.com/w320/pk.png
PLN,Polish Złoty,zł,inserted,https://flagcdn.com/w320/pl.png
PYG,Paraguayan Guarani,₲,inserted,https://flagcdn.com/w320/py.png
QAR,Qatari Rial,ر.ق,inserted,https://flagcdn.com/w320/qa.png
RON,Romanian Leu,lei,inserted,https://flagcdn.com/w320/ro.png
RSD,Serbian Dinar,дин,inserted,https://flagcdn.com/w320/rs.png
RUB, Russian Ruble, ₽,inserted,https://flagcdn.com/w320/ru.png
RWF, Rwandan Franc, FRw,inserted,https://flagcdn.com/w320/rw.png
SAR, Saudi Riyal, ر.س,inserted,https://flagcdn.com/w320/sa.png
SBD, Solomon Islands Dollar, SI$,,https://flagcdn.com/w320/sb.png
SCR, Seychellois Rupee, Rs,inserted,https://flagcdn.com/w320/sc.png
SDG, Sudanese Pound, £,inserted,https://flagcdn.com/w320/sd.png
SEK, Swedish Krona, kr,inserted,https://flagcdn.com/w320/se.png
SGD, Singapore Dollar, $,inserted,https://flagcdn.com/w320/sg.png
SHP, Saint Helena Pound, £,inserted,https://flagcdn.com/w320/sh.png
SLL, Sierra Leonean Leone, Le,inserted,https://flagcdn.com/w320/sl.png
SOS, Somali Shilling, Sh,inserted,https://flagcdn.com/w320/so.png
SRD, Surinamese Dollar, $,,https://flagcdn.com/w320/sr.png
SSP, South Sudanese Pound, £,,https://flagcdn.com/w320/ss.png
STN, São Tomé and Príncipe Dobra, Db,,https://flagcdn.com/w320/st.png
SYP, Syrian Pound, £ or ل.س,,https://flagcdn.com/w320/sy.png
SZL, Swazi Lilangeni, E,inserted,https://flagcdn.com/w320/sz.png
THB, Thai Baht, ฿,inserted,https://flagcdn.com/w320/th.png
TJS, Tajikistani Somoni, SM,inserted,https://flagcdn.com/w320/tj.png
TMT, Turkmenistani Manat, T,inserted,https://flagcdn.com/w320/tm.png
TND, Tunisian Dinar, د.ت,inserted,https://flagcdn.com/w320/tn.png
TOP, Tongan Pa'anga, T$,,https://flagcdn.com/w320/to.png
TRY, Turkish Lira, ₺,inserted,https://flagcdn.com/w320/tr.png
TTD, Trinidad and Tobago Dollar, TT$,inserted,https://flagcdn.com/w320/tt.png
TVD, Tuvaluan Dollar, $,,https://flagcdn.com/w320/tv.png
TWD, New Taiwan Dollar, $,inserted,https://flagcdn.com/w320/tw.png
TZS, Tanzanian Shilling, TSh,inserted,https://flagcdn.com/w320/tz.png
UAH, Ukrainian Hryvnia, ₴,inserted,https://flagcdn.com/w320/ua.png
UGX, Ugandan Shilling, USh,inserted,https://flagcdn.com/w320/ug.png
USD, United States Dollar, $,inserted,https://flagcdn.com/w320/us.png
UYU, Uruguayan Peso, $U,inserted,https://flagcdn.com/w320/uy.png
UZS, Uzbekistan Som, so'm,inserted,https://flagcdn.com/w320/uz.png
VES, Venezuelan Bolívar, Bs.,,Not available
VND, Vietnamese Dong, ₫,inserted,https://flagcdn.com/w320/vn.png
VUV, Vanuatu Vatu, VT,,Not available
WST, Samoan Tala, T,,https://flagcdn.com/w320/ws.png
XAF, Central African CFA Franc, FCFA,inserted,https://flagcdn.com/w320/cf.png
XCD, East Caribbean Dollar, $,inserted,https://flagcdn.com/w320/lc.png
XOF, West African CFA Franc, CFA,inserted,https://flagcdn.com/w320/sn.png
XPF, CFP Franc, F,inserted,https://flagcdn.com/w320/nc.png
YER, Yemeni Rial, ﷼,inserted,https://flagcdn.com/w320/ye.png
ZAR, South African Rand, R,inserted,https://flagcdn.com/w320/za.png
ZMW, Zambian Kwacha, ZK,inserted,https://flagcdn.com/w320/zm.png
