symbol,date
DXCM,2022-12-31
1181.HK,2022-12-31
600604.SS,2022-12-31
1233.TW,2022-12-31
HNMR.TA,2022-12-31
ITAB.ST,2022-12-31
4202.T,2023-03-31
001318.SZ,2022-12-31
HWKRF,2023-03-31
BNBR.JK,2022-12-31
CVX.V,2022-12-31
BCML,2022-12-31
300625.SZ,2022-12-31
KSCL.NS,2023-03-31
4917.T,2023-03-31
MMM,2022-12-31
STU.NZ,2022-06-30
BLV.L,2022-12-31
097230.KS,2022-12-31
600297.SS,2022-12-31
PROC,2022-12-31
FMCKJ,2022-12-31
3903.T,2023-04-30
KITW.L,2022-10-31
ESEA,2022-12-31
TBC,2022-09-30
3908.HK,2022-12-31
9325.T,2023-03-31
301186.SZ,2022-12-31
000719.SZ,2022-12-31
1629.HK,2022-12-31
0342.HK,2020-12-31
RKTA,2022-12-31
SO.PA,2021-12-31
UNI.AX,2022-06-30
MAXVIL.NS,2023-03-31
GHSI,2022-12-31
002148.SZ,2022-12-31
IONM,2022-12-31
PKBFF,2021-10-31
ADANIGREEN.NS,2023-03-31
TND.L,2022-12-31
120030.KS,2022-12-31
VALU.CN,2022-04-30
ODC,2022-07-31
1319.TW,2022-12-31
SEB-A.ST,2022-12-31
LGIH,2022-12-31
SNNAQ,2018-12-31
ECM.V,2022-12-31
1232.TW,2022-12-31
ALE.CN,2022-08-31
7356.T,2022-09-30
AIM.AX,2022-06-30
1066.HK,2022-12-31
TNSE.ME,2022-12-31
603189.SS,2022-12-31
6580.T,2023-03-31
NUVB,2022-12-31
PTHRF,2022-06-30
BVNRY,2022-12-31
ALBA.L,2022-11-30
TLPPF,2022-12-31
600622.SS,2022-12-31
0632.HK,2022-12-31
3486.T,2022-12-31
IONR,2022-06-30
089860.KS,2022-12-31
RCCMF,2022-09-30
FAF,2022-12-31
688103.SS,2022-12-31
OMM.V,2022-12-31
0366.HK,2022-12-31
IOFB,2018-12-31
CIIT,2022-07-31
ARR,2022-12-31
ZEST,2023-03-31
4118.T,2023-03-31
9722.T,2022-12-31
KBCGLOBAL.NS,2023-03-31
EMU.AX,2022-06-30
F,2022-12-31
ALICR.PA,2022-12-31
COLD,2022-12-31
EONX.CN,2022-06-30
WOO.AX,2022-06-30
ACT.L,2022-09-30
LBTL.TA,2022-12-31
MWTCF,2022-12-31
PUMXF,2023-02-28
0990.HK,2022-12-31
6826.HK,2022-12-31
0311.HK,2022-12-31
2350.SR,2022-12-31
HMGS.TA,2022-12-31
USAQ,2022-12-31
MMV,2022-12-31
DPUM.JK,2022-12-31
VAPR,1999-12-31
600048.SS,2022-12-31
SSFT,2021-12-31
POWR.JK,2022-12-31
2104.TW,2022-12-31
TGLD.CN,2023-01-31
