country
DK
SE
FI
SE
SE
FI
SE
SE
SE
SE
SE
SE
SE
DK
SE
SE
DK
DK
FI
SE
FI
SE
SE
SE
SE
SE
CH
FI
DK
DK
SE
SE
SE
SE
SE
FI
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
DK
FI
SE
SE
SE
SE
SE
DE
SE
SE
FI
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
FI
FI
SE
FI
SE
SE
SE
SE
FI
SE
SE
SE
SE
SE
SE
SE
FI
SE
DK
DK
DK
SE
DK
SE
SE
FI
FI
SE
FI
EE
FI
FI
SE
SE
SE
DK
DK
FI
SE
SE
SE
SE
SE
CA
SE
DK
CH
SE
DK
SE
SE
SE
MT
SE
DK
DK
FI
DK
SE
SE
SE
DK
SE
SE
CA
FI
SE
SE
SE
SE
SE
SE
SE
FI
SE
SE
SE
SE
FI
PL
FI
SE
SE
SE
DK
SE
SE
SE
SE
SE
SE
FI
SE
SE
SE
SE
FI
SE
EE
JE
SE
DK
DK
SE
SE
SE
SE
SE
MT
DK
DK
SE
SE
DK
SE
SE
FI
SE
SE
SE
FI
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
IS
SE
SE
SE
SE
SE
SE
SE
SE
SE
DK
SE
SE
SE
SE
DK
SE
SE
DK
SE
SE
SE
SE
SE
LI
SE
SE
DK
SE
SE
SE
DK
GB
SE
SE
SE
SE
SE
UK
SE
FI
SE
SE
SE
FI
SE
FI
SE
SE
SE
SE
SE
SE
FI
SE
MT
SE
SE
IS
DK
DK
SE
DK
SE
SE
FI
SE
SE
FI
FI
SE
IS
SE
FI
SE
SE
SE
FI
SE
SE
SE
SE
SE
SE
DK
SE
SE
SE
SE
SE
SE
SE
FI
SE
SE
SE
FI
DK
SE
SE
MT
SE
FI
SE
FI
SE
SE
CH
SE
SE
FI
SE
SE
SE
SE
SE
FI
IS
SE
SE
SE
SE
SE
SE
MT
SE
SE
SE
FI
FI
SE
LU
SE
FI
SE
SE
DK
DK
DK
FI
SE
SE
SE
DK
CA
SE
SE
SE
DK
SE
FI
SE
SE
FI
SE
SE
DK
SE
SE
DK
SE
FI
FI
SE
SE
SE
SE
FI
SE
SE
SE
SE
DK
FI
DK
DK
IS
SE
SE
CA
DK
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
SE
FI
SE
SE
SE
SE
DK
SE
SE
