symbol,date
SKC.AX,2023-06-30
MEZ.AX,2023-06-30
RHHBY,2022-12-31
AFRI,2022-12-31
SVNLY,2022-12-31
ERF.TO,2022-12-31
BROG,2022-12-31
BRES.QA,2022-12-31
KALD.IC,2022-12-31
BVNKF,2022-12-31
DNBBY,2022-12-31
HTCR,2022-12-31
BHKLY,2022-12-31
KIND-SDB.ST,2022-12-31
CRM.BA,2023-01-31
GMDA,2022-12-31
CBQK.QA,2022-12-31
HHLA,2022-12-31
CMCL,2022-12-31
UBSFY,2023-03-31
UMEWF,2022-09-30
0GWB.IL,2022-12-31
CRHKY,2022-12-31
FREY,2022-12-31
AKO-B,2022-12-31
FPAFY,2022-12-31
CCEP,2022-12-31
KNYJY,2022-12-31
SQ,2022-12-31
PFC.L,2022-12-31
CHYHY,2022-08-31
OP,2022-12-31
GTK.AX,2022-09-30
0K9W.IL,2022-12-31
2280.SR,2022-12-31
SAHOL.IS,2022-12-31
VLVLY,2022-12-31
SWVL,2022-12-31
ADDYY,2022-12-31
PPBT,2022-12-31
NVT,2022-12-31
ROIV,2023-03-31
HOKCY,2022-12-31
ALLT,2022-12-31
BNPQY,2022-12-31
YRSB.ME,2022-12-31
VLN,2022-12-31
AIZ.AX,2023-06-30
DIB.AE,2022-12-31
BRQS,2022-12-31
BLDP,2022-12-31
SMMNY,2022-09-30
EPOKY,2022-12-31
ANGH,2022-12-31
SGML,2022-12-31
INE.TO,2022-12-31
MAR,2022-12-31
ESLT,2022-12-31
REITIR.IC,2022-12-31
8012.SR,2022-12-31
MIL.L,2022-09-30
BORR,2022-12-31
MYSZ,2022-12-31
QGTS.QA,2022-12-31
NGEX.V,2022-12-31
ASELS.IS,2022-12-31
4260.SR,2022-12-31
CTL.L,2022-12-31
AMZN,2022-12-31
WSBN.L,2022-12-31
PIFMY,2022-12-31
RY.TO,2022-10-31
NVNXF,2022-06-30
QRC.TO,2023-08-31
KRNT,2022-12-31
IAM.SN,2022-12-31
TROO,2022-12-31
ZIM,2022-12-31
TOPS,2022-12-31
LYFT,2022-12-31
HA,2022-12-31
BLP.L,2015-04-30
TRST.L,2022-12-31
BKRKY,2022-12-31
CGNT,2023-01-31
TWNK,2022-12-31
AUTO.JK,2022-12-31
MGDDY,2022-12-31
PETB.L,2022-12-31
ICL,2022-12-31
DBOEY,2022-12-31
FTS.TO,2022-12-31
GB,2023-03-31
D7G.F,2022-12-31
SMPL,2023-08-26
ABCL,2022-12-31
AIA.AX,2023-06-30
TSEM,2022-12-31
SSUN.F,2022-12-31
ORKLY,2022-12-31
INXDF,2022-12-31
OROVY,2022-12-31
ASAI,2022-12-31
IGM.TO,2022-12-31
TTNDY,2022-12-31
CAAP,2022-12-31
MS,2022-12-31
EVVTY,2022-12-31
BRL.AX,2023-06-30
CLBT,2022-12-31
APCA,2022-12-31
SYN.IC,2022-12-31
IOBT,2022-12-31
RSKD,2022-12-31
NVCR,2022-12-31
BHMG.L,2022-12-31
NAOV,2022-12-31
BBAR,2022-12-31
TDCX,2022-12-31
EDRY,2022-12-31
EIK.IC,2022-12-31
NSRGY,2022-12-31
GE,2022-12-31
NPK.TO,2022-12-31
HKXCY,2022-12-31
WRDLY,2022-12-31
GAMB,2022-12-31
CSSV,2015-09-30
SVN.IC,2022-12-31
SRAD,2022-12-31
AGRO,2022-12-31
KNOP,2022-12-31
UCBJY,2022-12-31
VAL,2022-12-31
BOREF,2022-09-30
CHX,2022-12-31
NAT,2022-12-31
IFNNY,2023-09-30
TRIG.L,2022-12-31
ESEA,2022-12-31
UMICY,2022-12-31
MATH,2022-03-31
MARK.QA,2022-12-31
GMBL,2023-06-30
WELL.TO,2022-12-31
2010.SR,2022-12-31
GCHOY,2022-12-31
CBOT.PA,2022-12-31
SMCAY,2023-03-31
TSLA,2022-12-31
ICE,2022-12-31
GSM,2022-12-31
TCAP.L,2022-12-31
BYFM.CN,2023-01-31
MBGYY,2022-12-31
CB,2022-12-31
NHTC,2022-12-31
2223.SR,2022-12-31
SBLK,2022-12-31
GDNGY,2022-12-31
GMS,2023-04-30
NA.TO,2022-10-31
MPHC.QA,2022-12-31
ICEAIR.IC,2022-12-31
LTE.JO,2022-12-31
888.L,2022-12-31
EFGD.IL,2022-12-31
BEP,2022-12-31
SWRAY,2022-12-31
BSX,2022-12-31
CLVT,2022-12-31
ICAGY,2022-12-31
RDWR,2022-12-31
CPB,2023-07-30
QEWS.QA,2022-12-31
SHG.L,2022-12-31
COPEC.SN,2022-12-31
ALVO,2022-12-31
CLPS,2023-06-30
QFLS.QA,2022-12-31
VWSYF,2022-12-31
CGHLY,2023-03-31
OGC.TO,2022-12-31
GLMD,2022-12-31
TIGO,2022-12-31
SSU,2022-09-30
RIG,2022-12-31
DSFGY,2022-12-31
CSCO,2023-07-29
SKX,2022-12-31
ANFIF,2019-03-31
KIDZ.V,2022-12-31
REGINN.IC,2022-12-31
OSSR.CO,2022-12-31
AGESY,2022-12-31
HYSNY,2022-12-31
BASFY,2022-12-31
GCPEF,2022-12-31
DAC,2022-12-31
PRD.L,2022-12-31
BIP-UN.TO,2022-12-31
PNC,2022-12-31
NRSDY,2022-12-31
OPK,2022-12-31
HSBK.IL,2022-12-31
CHEK,2022-12-31
FALABELLA.SN,2022-12-31
SST.AX,2022-12-31
OCS,2022-12-31
SFTBY,2023-03-31
FRO,2022-12-31
MBLY,2022-12-31
NVMI,2022-12-31
PRE,2022-12-31
HLDCY,2022-12-31
RYR.V,2022-12-31
HNHPF,2022-12-31
EUTLF,2023-06-30
JIN.OL,2022-12-31
EVGN,2022-12-31
PPCB,2023-06-30
YUEIY,2022-12-31
6004.SR,2022-12-31
CCCP,2022-12-31
VCISY,2022-12-31
OTLK,2022-09-30
ALV,2022-12-31
VTR,2022-12-31
MKKGY,2022-12-31
CAMT,2022-12-31
KFH.KW,2022-12-31
CRRFY,2022-12-31
KSL.AX,2022-12-31
