symbol,date
FELLOW.HE,2022-12-31
TSK.TO,2022-12-31
NEWGEN.NS,2023-03-31
ERG.WA,2022-12-31
NEWP,2023-06-30
3770.T,2023-04-30
ATMCU,2022-12-31
HANA-R.BK,2022-12-31
008930.KS,2022-12-31
LGMH,2021-12-31
0DQK.L,2022-12-31
GTG.AX,2023-06-30
SF-PC,2022-12-31
FUN,2022-12-31
DAN,2022-12-31
002284.SZ,2022-12-31
AZJ.AX,2023-06-30
300246.SZ,2022-12-31
PYFRF,2022-12-31
ARHS,2022-12-31
001130.KS,2022-12-31
PGLO,2021-09-30
6960.T,2023-03-31
0O6D.L,2022-12-31
FORM,2022-12-31
0N9S.IL,2022-12-31
BSSP,2014-12-31
ICUCW,2022-12-31
TU,2022-12-31
PNA1V.HE,2022-10-31
ATEAY,2022-12-31
BLX.AX,2023-06-30
KARDA.NS,2021-03-31
5801.T,2023-03-31
PBF,2022-12-31
2317.TW,2022-12-31
LUGDF,2022-12-31
BNGA.JK,2022-12-31
3861.T,2023-03-31
ELF.TO,2022-12-31
JPEL.L,2023-06-30
VO.V,2022-09-30
JPE.L,2021-08-31
EVRC,2019-03-31
6455.T,2023-03-31
NWOR.L,2022-12-31
CMPUY,2022-12-31
603133.SS,2022-12-31
AHNR,2022-12-31
605577.SS,2022-12-31
FNQ.CN,2022-12-31
UEIC,2022-12-31
7247.T,2023-03-31
1803.T,2023-03-31
DEUZF,2022-12-31
ZLDAF,2022-06-30
VIVA.JK,2022-12-31
1429.T,2022-12-31
600633.SS,2022-12-31
MTRYW,2022-12-31
CTS.WA,2022-12-31
DPABHUSHAN.NS,2023-03-31
KZMS.ME,2021-12-31
PHNM.V,2022-11-30
TLKM.JK,2022-12-31
NESRF,2023-06-30
21STCENMGM.NS,2023-03-31
TAALA.HE,2022-12-31
CKS.JO,2023-03-31
CIE.SW,2022-12-31
ASAAF,2023-03-31
603386.SS,2022-12-31
HBM.TO,2022-12-31
FWL.NZ,2022-06-30
LORL,2020-12-31
CATY,2022-12-31
AMIN,2014-12-31
ACSYF,2023-03-31
2227.TW,2022-12-31
HRZ.AX,2023-06-30
VLTMF,2021-12-31
JNJ,2023-01-01
CATTF,2022-12-31
MAIA,2022-12-31
DKSH.SW,2022-12-31
DLI.AX,2022-06-30
CORDSCABLE.NS,2023-03-31
AYAAF,2022-12-31
001430.KS,2022-12-31
LEO.V,2022-12-31
EGO,2022-12-31
SGIC,2022-12-31
ELO.AX,2022-06-30
0NNU.L,2022-12-31
UMPQ,2022-12-31
1612.HK,2022-12-31
ORPH.IR,2021-12-31
THGHY,2022-12-31
BNEFF,2022-12-31
NKNCP.ME,2020-12-31
MTRX,2023-06-30
OPAD,2022-12-31
PHRX.CN,2022-12-31
S63.SI,2022-12-31
2157.HK,2022-12-31
8020.SR,2021-12-31
UTTAMSTL.NS,2022-03-31
FSV.TO,2022-12-31
SGBX,2022-12-31
BMTM,2022-12-31
600715.SS,2022-12-31
0L5N.L,2022-12-31
XOM.SW,2022-12-31
9505.T,2023-03-31
2088.HK,2022-12-31
600875.SS,2022-12-31
CNFR,2022-12-31
GIW,2021-12-31
TILS.L,2020-12-31
DGR.DE,2022-12-31
HJLI,2022-12-31
CBDHF,2020-12-31
INDLMETER.NS,2023-03-31
PVEG,2021-12-31
1467.TW,2022-12-31
WOCKPHARMA.NS,2023-03-31
SPSTF,2023-03-31
PSYGF,2023-03-31
1762.T,2023-03-31
FYB.DE,2022-12-31
SBFM,2022-12-31
CHEK,2022-12-31
FOO.DE,2023-01-31
FRACF,2022-12-31
THS.L,2022-09-30
DCCNF,2023-06-30
SKHSY,2023-01-31
BMO,2022-10-31
NOA3.DE,2022-12-31
FALABELLA.SN,2022-12-31
6028.T,2023-06-30
PENNEO.CO,2022-12-31
HRBK,2005-12-31
XPP.L,2022-12-31
PBAXU,2022-12-31
KETA.CN,2023-01-31
BBLD.JK,2022-12-31
THRU.L,2023-03-31
RGSS.ME,2022-12-31
2020.TW,2022-12-31
ACGN,2022-12-31
4463.T,2022-12-31
DOLAT.NS,2023-03-31
3784.T,2022-12-31
011150.KS,2022-12-31
RSKIA,2023-04-30
LDOS,2022-12-30
002778.SZ,2022-12-31
600259.SS,2022-12-31
002752.SZ,2022-12-31
