symbol,date
REGINN.IC,2022-12-31
HLTOY,2022-12-31
OSSR.CO,2022-12-31
BRL.AX,2023-06-30
TELNY,2022-12-31
HXGBY,2022-12-31
TOPS,2022-12-31
GRMN,2023-04-01
0OFP.IL,2022-12-31
BN,2022-12-31
NVCR,2022-12-31
4071.SR,2022-12-31
PPCB,2022-06-30
ECN.TO,2022-12-31
FURCF,2022-12-31
ARASE.IS,2020-12-31
SATX,2022-12-31
RBW.L,2022-06-30
IDEXY,2023-01-31
GRRR,2022-12-31
DB,2022-12-31
HLPPY,2022-12-31
AUOTY,2022-12-31
CRNT,2022-12-31
STN.TO,2022-12-31
OEC,2022-12-31
PUBGY,2022-12-31
2190.SR,2022-12-31
AMKBY,2022-12-31
JCSE,2022-12-31
MKKGY,2022-12-31
MCY.AX,2023-06-30
LNTH,2022-12-31
CHYHY,2022-08-31
KMI,2022-12-31
HLDCY,2022-12-31
MGIC,2022-12-31
CHS,2023-01-28
COPEC.SN,2022-12-31
NPK.TO,2022-12-31
KMTUY,2023-03-31
DNN,2022-12-31
BOSC,2022-12-31
BNRG,2022-12-31
HIHO,2023-03-31
WSC,2022-12-31
TIGO,2022-12-31
PERI,2022-12-31
AY,2022-12-31
UAA,2023-03-31
CELJF,2022-12-31
DESP,2022-12-31
NMRK,2022-12-31
MNDY,2022-12-31
ANIOY,2022-12-31
ERF,2022-12-31
SO,2022-12-31
AIQUY,2022-12-31
DCFC,2022-06-30
ERMAY,2022-12-31
GMS.L,2022-12-31
SKX,2022-12-31
AWIN,2021-12-31
2223.SR,2022-12-31
ACBA,2022-12-31
NOVA.IC,2022-12-31
HSBK.IL,2022-12-31
VTKLY,2023-03-31
EONGY,2022-12-31
SLF,2022-12-31
WSBN.L,2022-12-31
NVMI,2022-12-31
BRNE,2014-12-31
PGY,2022-12-31
VEIL.L,2022-12-31
2282.HK,2022-12-31
MIGI,2022-12-31
WHGLY,2022-12-31
RGC,2022-06-30
NCLTY,2022-02-28
HCMLY,2022-12-31
CRON.TO,2022-12-31
JIN.OL,2022-12-31
ARZGY,2022-12-31
TRMB,2022-12-30
0486.HK,2022-12-31
MEGL,2022-12-31
TDH.JO,2023-02-28
ALIZY,2022-12-31
BNS.TO,2022-10-31
OIGLF,2022-12-31
8012.SR,2022-12-31
TRIG.L,2022-12-31
NCRA,2022-12-31
SOPH,2022-12-31
NRDBY,2022-12-31
0N4Y.IL,2023-03-31
ALBHF,2023-03-31
PLUR,2023-06-30
WBX,2022-12-31
SYIEY,2022-12-31
MBLY,2022-12-31
DBOEY,2022-12-31
BASFY,2022-12-31
DAL,2022-12-31
BDRFY,2022-12-31
ANSGR.IS,2022-12-31
GXYEF,2022-12-31
MEZ.AX,2023-06-30
CB,2022-12-31
CWVLF,2022-12-31
AGESY,2022-12-31
LWLG,2022-12-31
MCHP,2023-03-31
OTLK,2022-09-30
HA,2022-12-31
PWM,2022-09-30
MX,2022-12-31
KHNGF,2022-12-31
MRDS.QA,2022-12-31
NAOV,2022-12-31
TTNDY,2022-12-31
TWNK,2022-12-31
ILAG,2022-12-31
GLNG,2022-12-31
KALD.IC,2022-12-31
GENTF,2022-12-31
NNOX,2022-12-31
GLBE,2022-12-31
WIX,2022-12-31
1211.SR,2022-12-31
RCKT,2022-12-31
PUTKY,2022-12-31
KNOP,2022-12-31
AMADY,2022-12-31
1832.SR,2022-12-31
CVAC,2022-12-31
BVIC.JK,2022-12-31
DSWL,2023-03-31
2080.SR,2022-12-31
CTTAY,2022-12-31
SRL,2022-12-31
NWITY,2022-12-31
GE,2022-12-31
SVRE,2022-12-31
BNPQY,2022-12-31
OXUS,2022-12-31
ROSB.ME,2022-12-31
ITRN,2022-12-31
MLTX,2022-12-31
SUBCY,2022-12-31
CHX,2022-12-31
AUDC,2022-12-31
FTS.TO,2022-12-31
INE.TO,2022-12-31
PNC,2022-12-31
ENGIY,2022-12-31
BABY.TO,2022-12-31
CGEN,2022-12-31
LIQT,2022-12-31
RDWR,2022-12-31
FIXP.IL,2022-12-31
OP,2022-12-31
MRVI,2022-12-31
HSQVY,2022-12-31
600988.SS,2022-12-31
VSL.AX,2023-06-30
2090.SR,2022-12-31
ALVO,2022-12-31
ASAI,2022-12-31
SDVKY,2022-12-31
IGM.TO,2022-12-31
GOGL,2022-12-31
FPH.AX,2023-03-31
CPLP,2022-12-31
KCHOL.IS,2022-12-31
AXS,2022-12-31
KMDA,2022-12-31
D7G.F,2022-12-31
LICY,2022-10-31
LTE.JO,2022-12-31
BBM.CN,2022-12-31
GFAI,2022-12-31
SEOAY,2022-12-31
GGDVY,2022-12-31
CHNR,2022-12-31
